date,US_COVID-19_Cases
2020-03-21,6885
2020-03-22,9259
2020-03-23,11442
2020-03-24,10632
2020-03-25,12873
2020-03-26,17656
2020-03-27,19044
2020-03-28,19724
2020-03-29,19655
2020-03-30,21897
2020-03-31,24694
2020-04-01,25773
2020-04-02,27992
2020-04-03,31945
2020-04-04,33252
2020-04-05,25550
2020-04-06,28937
2020-04-07,30737
2020-04-08,30534
2020-04-09,34419
2020-04-10,34351
2020-04-11,30561
2020-04-12,27844
2020-04-13,25133
2020-04-14,25631
2020-04-15,30298
2020-04-16,30923
2020-04-17,31964
2020-04-18,27963
2020-04-19,27468
2020-04-20,25872
2020-04-21,26333
2020-04-22,28916
2020-04-23,31784
2020-04-24,34174
2020-04-25,35901
2020-04-26,27380
2020-04-27,22605
2020-04-28,25219
2020-04-29,26641
2020-04-30,29568
2020-05-01,33056
2020-05-02,29185
2020-05-03,25767
2020-05-04,22523
2020-05-05,22449
2020-05-06,25056
2020-05-07,27490
2020-05-08,27605
2020-05-09,24810
2020-05-10,21504
2020-05-11,18236
2020-05-12,22663
2020-05-13,21193
2020-05-14,26705
2020-05-15,24710
2020-05-16,24701
2020-05-17,20171
2020-05-18,20992
2020-05-19,20853
2020-05-20,21319
2020-05-21,26513
2020-05-22,24555
2020-05-23,21590
2020-05-24,20105
2020-05-25,18798
2020-05-26,16629
2020-05-27,19385
2020-05-28,22601
2020-05-29,23522
2020-05-30,23762
2020-05-31,21639
2020-06-01,20415
2020-06-02,19982
2020-06-03,20312
2020-06-04,20839
2020-06-05,23352
2020-06-06,23106
2020-06-07,18823
2020-06-08,17012
2020-06-09,17175
2020-06-10,20803
2020-06-11,22032
2020-06-12,23477
2020-06-13,25341
2020-06-14,21373
2020-06-15,18510
2020-06-16,23435
2020-06-17,23873
2020-06-18,27527
2020-06-19,31046
2020-06-20,31994
2020-06-21,27284
2020-06-22,27017
2020-06-23,33021
2020-06-24,38684
2020-06-25,39072
2020-06-26,44421
2020-06-27,43783
2020-06-28,41857
2020-06-29,39175
2020-06-30,47462
2020-07-01,50674
2020-07-02,53826
2020-07-03,54223
2020-07-04,54734
2020-07-05,45789
2020-07-06,41600
2020-07-07,51766
2020-07-08,62147
2020-07-09,58836
2020-07-10,66645
2020-07-11,63007
2020-07-12,60978
2020-07-13,58465
2020-07-14,62879
2020-07-15,65382
2020-07-16,70953
2020-07-17,77233
2020-07-18,65180
2020-07-19,64884
2020-07-20,56971
2020-07-21,63642
2020-07-22,69150
2020-07-23,71027
2020-07-24,75193
2020-07-25,65413
2020-07-26,61713
2020-07-27,55134
2020-07-28,53507
